State,Year,Median Monthly Owner Costs (Mortgage),Median Gross Rent,Median Income,Mortgage/Income (%),Rent/Income (%)
Illinois,2021,1717,1106,72205,28.54,18.38
Indiana,2021,1195,905,62743,22.86,17.31
Iowa,2021,1328,847,65600,24.29,15.49
Kansas,2021,1446,904,64124,27.06,16.92
Kentucky,2021,1227,830,55573,26.49,17.92
Louisiana,2021,1349,924,52087,31.08,21.29
Maine,2021,1464,945,64767,27.12,17.51
Maryland,2021,2013,1473,90203,26.78,19.6
Massachusetts,2021,2323,1487,89645,31.1,19.91
Michigan,2021,1348,969,63498,25.47,18.31
Minnesota,2021,1667,1113,77720,25.74,17.18
Mississippi,2021,1200,831,48716,29.56,20.47
Missouri,2021,1316,882,61847,25.53,17.11
Montana,2021,1558,883,63249,29.56,16.75
Nebraska,2021,1491,912,66817,26.78,16.38
Nevada,2021,1625,1311,66274,29.42,23.74
New Hampshire,2021,2004,1263,88465,27.18,17.13
New Jersey,2021,2458,1457,89296,33.03,19.58
New Mexico,2021,1354,906,53992,30.09,20.14
New York,2021,2199,1409,74314,35.51,22.75
North Carolina,2021,1387,1026,61972,26.86,19.87
North Dakota,2021,1488,839,66519,26.84,15.14
Ohio,2021,1293,870,62262,24.92,16.77
Oklahoma,2021,1295,855,55826,27.84,18.38
Oregon,2021,1835,1282,71562,30.77,21.5
Pennsylvania,2021,1505,1036,68957,26.19,18.03
Rhode Island,2021,1932,1142,74008,31.33,18.52
South Carolina,2021,1289,976,59318,26.08,19.74
South Dakota,2021,1415,830,66143,25.67,15.06
Tennessee,2021,1333,981,59695,26.8,19.72
Texas,2021,1765,1167,66963,31.63,20.91
Utah,2021,1671,1208,79449,25.24,18.25
Vermont,2021,1664,1115,72431,27.57,18.47
Virginia,2021,1818,1331,80963,26.95,19.73
Washington,2021,2110,1484,84247,30.05,21.14
West Virginia,2021,1071,767,51248,25.08,17.96
Wisconsin,2021,1464,921,67125,26.17,16.46
Wyoming,2021,1490,889,65204,27.42,16.36
Alaska,2021,1926,1259,77845,29.69,19.41
Alabama,2022,1293,913,59674,26.0,18.36
Alaska,2022,2019,1329,88121,27.49,18.1
Arizona,2022,1616,1450,74568,26.01,23.33
Arkansas,2022,1216,846,55432,26.32,18.31
California,2022,2673,1870,91551,35.04,24.51
Colorado,2022,2098,1646,89302,28.19,22.12
Connecticut,2022,2215,1360,88429,30.06,18.46
Delaware,2022,1629,1274,82174,23.79,18.6
District of Columbia,2022,2893,1843,101027,34.36,21.89
Florida,2022,1746,1525,69303,30.23,26.41
Georgia,2022,1599,1269,72837,26.34,20.91
Hawaii,2022,2683,1813,92458,34.82,23.53
Idaho,2022,1512,1138,72785,24.93,18.76
Illinois,2022,1804,1170,76708,28.22,18.3
Indiana,2022,1281,972,66785,23.02,17.46
Iowa,2022,1411,891,69588,24.33,15.36
Kansas,2022,1542,975,68925,26.85,16.97
Kentucky,2022,1316,891,59341,26.61,18.02
Louisiana,2022,1472,984,55416,31.88,21.31
Maine,2022,1573,1033,69543,27.14,17.82
Maryland,2022,2097,1550,94991,26.49,19.58
Massachusetts,2022,2489,1634,94488,31.61,20.75
Michigan,2022,1435,1052,66986,25.71,18.85
Minnesota,2022,1784,1200,82338,26.0,17.49
Mississippi,2022,1267,873,52719,28.84,19.87
Missouri,2022,1377,954,64811,25.5,17.66
Montana,2022,1611,1005,67631,28.58,17.83
Nebraska,2022,1586,983,69597,27.35,16.95
Nevada,2022,1730,1461,72333,28.7,24.24
New Hampshire,2022,2157,1396,89992,28.76,18.61
New Jersey,2022,2553,1555,96346,31.8,19.37
New Mexico,2022,1408,955,59726,28.29,19.19
New York,2022,2355,1499,79557,35.52,22.61
North Carolina,2022,1444,1131,67481,25.68,20.11
North Dakota,2022,1638,863,71970,27.31,14.39
Ohio,2022,1381,949,65720,25.22,17.33
Oklahoma,2022,1409,937,59673,28.33,18.84
Oregon,2022,1946,1370,75657,30.87,21.73
Pennsylvania,2022,1601,1116,71798,26.76,18.65
Rhode Island,2022,2021,1254,81854,29.63,18.38
South Carolina,2022,1378,1084,64115,25.79,20.29
South Dakota,2022,1526,866,69728,26.26,14.9
Tennessee,2022,1442,1096,65254,26.52,20.16
Texas,2022,1904,1290,72284,31.61,21.42
Utah,2022,1822,1372,89168,24.52,18.46
Vermont,2022,1750,1141,73991,28.38,18.5
Virginia,2022,1919,1441,85873,26.82,20.14
Washington,2022,2227,1630,91306,29.27,21.42
West Virginia,2022,1161,795,54329,25.64,17.56
Wisconsin,2022,1545,992,70996,26.11,16.77
Wyoming,2022,1564,895,70042,26.8,15.33
Puerto Rico,2022,878,535,24112,43.7,26.63
Alabama,2023,1372,982,62212,26.46,18.94
Alaska,2023,2136,1373,86631,29.59,19.02
Arizona,2023,1751,1608,77315,27.18,24.96
Arkansas,2023,1315,933,58700,26.88,19.07
California,2023,2844,1992,95521,35.73,25.02
Colorado,2023,2289,1771,92911,29.56,22.87
Connecticut,2023,2354,1463,91665,30.82,19.15
Georgia,2023,1733,1400,74632,27.86,22.51
Delaware,2023,1747,1358,81361,25.77,20.03
District of Columbia,2023,3001,1904,108210,33.28,21.11
Florida,2023,1950,1719,73311,31.92,28.14
Hawaii,2023,2739,1940,95322,34.48,24.42
Idaho,2023,1686,1256,74942,27.0,20.11
Illinois,2023,1905,1238,80306,28.47,18.5
Indiana,2023,1359,1044,69477,23.47,18.03
Iowa,2023,1483,949,71433,24.91,15.94
Kansas,2023,1635,1036,70333,27.9,17.68
Kentucky,2023,1386,929,61118,27.21,18.24
Louisiana,2023,1564,1020,58229,32.23,21.02
Maine,2023,1688,1189,73733,27.47,19.35
Maryland,2023,2224,1651,98678,27.05,20.08
Massachusetts,2023,2629,1757,99858,31.59,21.11
Michigan,2023,1509,1101,69183,26.17,19.1
Minnesota,2023,1879,1264,85086,26.5,17.83
Mississippi,2023,1321,898,54203,29.25,19.88
Missouri,2023,1461,1019,68545,25.58,17.84
Montana,2023,1754,1083,70804,29.73,18.35
Nebraska,2023,1718,1042,74590,27.64,16.76
Nevada,2023,1876,1622,76364,29.48,25.49
New Hampshire,2023,2303,1517,96838,28.54,18.8
New Jersey,2023,2676,1667,99781,32.18,20.05
New Mexico,2023,1500,1084,62268,28.91,20.89
New York,2023,2430,1561,82095,35.52,22.82
North Carolina,2023,1578,1245,70804,26.74,21.1
North Dakota,2023,1687,916,76525,26.45,14.36
Ohio,2023,1468,1014,67769,25.99,17.96
Oklahoma,2023,1527,1020,62138,29.49,19.7
Oregon,2023,2089,1481,80160,31.27,22.17
Pennsylvania,2023,1698,1197,73824,27.6,19.46
Rhode Island,2023,2175,1365,84972,30.72,19.28
South Carolina,2023,1477,1170,67804,26.14,20.71
South Dakota,2023,1625,921,71810,27.15,15.39
Tennessee,2023,1503,1214,67631,26.67,21.54
Texas,2023,2071,1413,75780,32.79,22.38
Utah,2023,1978,1551,93421,25.41,19.92
Vermont,2023,1827,1202,81211,27.0,17.76
Virginia,2023,2032,1567,89931,27.11,20.91
Washington,2023,2396,1731,94605,30.39,21.96
West Virginia,2023,1208,850,55948,25.91,18.23
Wisconsin,2023,1629,1071,74631,26.19,17.22
Wyoming,2023,1653,1000,72415,27.39,16.57
Puerto Rico,2023,899,557,25621,42.11,26.09
